SMPL 1960.1 2017.4;
LOAD XID CC D1 D2 D3 D4;
 1982.2    0.00  -99.00    1.00    0.00    0.00
 1982.3    0.00  -99.00    0.00    1.00    0.00
 1982.4    0.00  -99.00    0.00    0.00    1.00
 1983.1    1.00    1.00    0.00    0.00    0.00
 1983.2    0.00  -99.00    1.00    0.00    0.00
 1983.3    0.00  -99.00    0.00    1.00    0.00
 1983.4    0.00  -99.00    0.00    0.00    1.00
 1984.1    1.00    1.00    0.00    0.00    0.00
 1984.2    0.00  -99.00    1.00    0.00    0.00
 1984.3    0.00  -99.00    0.00    1.00    0.00
 1984.4    0.00  -99.00    0.00    0.00    1.00
 1985.1    1.00    1.00    0.00    0.00    0.00
 1985.2    0.00  -99.00    1.00    0.00    0.00
 1985.3    0.00  -99.00    0.00    1.00    0.00
 1985.4    0.00  -99.00    0.00    0.00    1.00
 1986.1    1.00    1.00    0.00    0.00    0.00
 1986.2    0.00  -99.00    1.00    0.00    0.00
 1986.3    0.00  -99.00    0.00    1.00    0.00
 1986.4    0.00  -99.00    0.00    0.00    1.00
 1987.1    1.00    1.00    0.00    0.00    0.00
 1987.2    0.00  -99.00    1.00    0.00    0.00
 1987.3    0.00  -99.00    0.00    1.00    0.00
 1987.4    0.00  -99.00    0.00    0.00    1.00
 1988.1    1.00    1.00    0.00    0.00    0.00
 1988.2    0.00  -99.00    1.00    0.00    0.00
 1988.3    0.00  -99.00    0.00    1.00    0.00
 1988.4    0.00  -99.00    0.00    0.00    1.00
 1989.1    1.00    1.00    0.00    0.00    0.00
 1989.2    0.00  -99.00    1.00    0.00    0.00
 1989.3    0.00  -99.00    0.00    1.00    0.00
 1989.4    0.00  -99.00    0.00    0.00    1.00
 1990.1    1.00    1.00    0.00    0.00    0.00
 1990.2    0.00  -99.00    1.00    0.00    0.00
 1990.3    0.00  -99.00    0.00    1.00    0.00
 1990.4    0.00  -99.00    0.00    0.00    1.00
 1991.1    1.00    1.00    0.00    0.00    0.00
 1991.2    0.00  -99.00    1.00    0.00    0.00
 1991.3    0.00  -99.00    0.00    1.00    0.00
 1991.4    0.00  -99.00    0.00    0.00    1.00
 1992.1    1.00    1.00    0.00    0.00    0.00
 1992.2    0.00  -99.00    1.00    0.00    0.00
 1992.3    0.00  -99.00    0.00    1.00    0.00
 1992.4    0.00  -99.00    0.00    0.00    1.00
 1993.1    1.00    1.00    0.00    0.00    0.00
 1993.2    0.00  -99.00    1.00    0.00    0.00
 1993.3    0.00  -99.00    0.00    1.00    0.00
 1993.4    0.00  -99.00    0.00    0.00    1.00
 1994.1    1.00    1.00    0.00    0.00    0.00
 1994.2    0.00  -99.00    1.00    0.00    0.00
 1994.3    0.00  -99.00    0.00    1.00    0.00
 1994.4    0.00  -99.00    0.00    0.00    1.00
 1995.1    1.00    1.00    0.00    0.00    0.00
 1995.2    0.00  -99.00    1.00    0.00    0.00
 1995.3    0.00  -99.00    0.00    1.00    0.00
 1995.4    0.00  -99.00    0.00    0.00    1.00
 1996.1    1.00    1.00    0.00    0.00    0.00
 1996.2    0.00  -99.00    1.00    0.00    0.00
